id	mlg
C23-A_1	110
C23-A_2	110
C23-A_3	110
C23-A_4	110
C23-A_5	110
C27-A_1	57
C27-A_2	57
C27-A_3	57
C27-A_4	57
C27-A_5	57
C43-A_1	52
C43-A_2	52
C43-A_3	52
C43-A_4	52
C43-A_5	52
C85-A_1	57
C85-A_2B	57
C85-A_3	57
C85-A_4	57
C85-A_5	57
C86-A_1	57
C86-A_2	57
C86-A_3	57
C86-A_4	57
C86-A_5	57
C87-A_1	57
C87-A_2	57
C87-A_3	57
C87-A_4	57
C87-A_5	57
C88-A_1	57
C88-A_2	57
C88-A_3	57
C88-A_4	57
C88-A_5	57
L06-A_1	103
L06-A_2	103
L06-A_3	103
L06-A_4	103
L06-A_5	103
L16-A_1	91
L16-A_2	91
L16-A_3	103
L16-A_4	91
L16-A_5	103
L17-A_1	103
L17-A_2	103
L17-A_3	103
L17-A_4	103
L17-A_5	103
L39-A_1	114
L39-A_2	114
L39-A_3	114
L39-A_4	105
L39-A_5	114
L41-A_1	57
L41-A_2	57
L41-A_3	57
L41-A_4	57
L45-A_2	57
L45-A_3	57
L45-A_4	57
L45-A_5	57
L62-A_5	104
S03-A_1	7
S03-A_2	7
S03-A_3	7
S03-A_4	7
SM-A_1	12
SM-A_2	12
SM-A_3	12
SM-A_4	12
SM-A_5	12
