"","diploid","triploid","tetraploid","sample"
"original...1",1,NA,NA,"B42-S_1-RG"
"bootstrap.replicates...2",100,NA,NA,"B42-S_1-RG"
"original...3",1,NA,NA,"B42-S_2-RG"
"bootstrap.replicates...4",100,NA,NA,"B42-S_2-RG"
"original...5",1,NA,NA,"B42-S_3-RG"
"bootstrap.replicates...6",100,NA,NA,"B42-S_3-RG"
"original...7",1,NA,NA,"B46-S_1-RG"
"bootstrap.replicates...8",100,NA,NA,"B46-S_1-RG"
"original...9",1,NA,NA,"B46-S_2-RG"
"bootstrap.replicates...10",100,NA,NA,"B46-S_2-RG"
"original...11",1,NA,NA,"B46-S_3-RG"
"bootstrap.replicates...12",100,NA,NA,"B46-S_3-RG"
"original...13",1,NA,NA,"B49-S_1-RG"
"bootstrap.replicates...14",100,NA,NA,"B49-S_1-RG"
"original...15",1,NA,NA,"B49-S_2-RG"
"bootstrap.replicates...16",100,NA,NA,"B49-S_2-RG"
"original...17",1,NA,NA,"B49-S_3-RG"
"bootstrap.replicates...18",100,NA,NA,"B49-S_3-RG"
"original...19",1,NA,NA,"B53-S_1-RG"
"bootstrap.replicates...20",100,NA,NA,"B53-S_1-RG"
"original...21",1,NA,NA,"B53-S_2-RG"
"bootstrap.replicates...22",100,NA,NA,"B53-S_2-RG"
"original...23",1,NA,NA,"B53-S_3-RG"
"bootstrap.replicates...24",100,NA,NA,"B53-S_3-RG"
"original...25",1,NA,NA,"B60-S_1-RG"
"bootstrap.replicates...26",100,NA,NA,"B60-S_1-RG"
"original...27",1,NA,NA,"B60-S_2-RG"
"bootstrap.replicates...28",100,NA,NA,"B60-S_2-RG"
"original...29",1,NA,NA,"B60-S_3-RG"
"bootstrap.replicates...30",100,NA,NA,"B60-S_3-RG"
"original...31",1,NA,NA,"C23-A_1-RG"
"bootstrap.replicates...32",92,8,NA,"C23-A_1-RG"
"original...33",1,NA,NA,"C23-A_2-RG"
"bootstrap.replicates...34",56,44,NA,"C23-A_2-RG"
"original...35",1,NA,NA,"C23-A_3-RG"
"bootstrap.replicates...36",72,28,NA,"C23-A_3-RG"
"original...37",NA,1,NA,"C23-A_4-RG"
"bootstrap.replicates...38",NA,100,NA,"C23-A_4-RG"
"original...39",1,NA,NA,"C23-A_5-RG"
"bootstrap.replicates...40",100,NA,NA,"C23-A_5-RG"
"original...41",NA,1,NA,"C27-A_1-RG"
"bootstrap.replicates...42",NA,100,NA,"C27-A_1-RG"
"original...43",NA,1,NA,"C27-A_2-RG"
"bootstrap.replicates...44",NA,100,NA,"C27-A_2-RG"
"original...45",NA,1,NA,"C27-A_3-RG"
"bootstrap.replicates...46",NA,100,NA,"C27-A_3-RG"
"original...47",NA,1,NA,"C27-A_4-RG"
"bootstrap.replicates...48",NA,100,NA,"C27-A_4-RG"
"original...49",NA,1,NA,"C27-A_5-RG"
"bootstrap.replicates...50",NA,100,NA,"C27-A_5-RG"
"original...51",NA,NA,1,"C43-A_1-RG"
"bootstrap.replicates...52",NA,NA,100,"C43-A_1-RG"
"original...53",NA,NA,1,"C43-A_2-RG"
"bootstrap.replicates...54",NA,NA,100,"C43-A_2-RG"
"original...55",NA,NA,1,"C43-A_3-RG"
"bootstrap.replicates...56",NA,NA,100,"C43-A_3-RG"
"original...57",NA,NA,1,"C43-A_4-RG"
"bootstrap.replicates...58",NA,NA,100,"C43-A_4-RG"
"original...59",NA,NA,1,"C43-A_5-RG"
"bootstrap.replicates...60",NA,NA,100,"C43-A_5-RG"
"original...61",1,NA,NA,"C59-S_1-RG"
"bootstrap.replicates...62",100,NA,NA,"C59-S_1-RG"
"original...63",1,NA,NA,"C59-S_2-RG"
"bootstrap.replicates...64",100,NA,NA,"C59-S_2-RG"
"original...65",1,NA,NA,"C59-S_3-RG"
"bootstrap.replicates...66",100,NA,NA,"C59-S_3-RG"
"original...67",NA,1,NA,"C85-A_1-RG"
"bootstrap.replicates...68",NA,100,NA,"C85-A_1-RG"
"original...69",1,NA,NA,"C85-A_2B-RG"
"bootstrap.replicates...70",100,NA,NA,"C85-A_2B-RG"
"original...71",1,NA,NA,"C85-A_3-RG"
"bootstrap.replicates...72",79,21,NA,"C85-A_3-RG"
"original...73",NA,1,NA,"C85-A_4-RG"
"bootstrap.replicates...74",NA,100,NA,"C85-A_4-RG"
"original...75",NA,1,NA,"C85-A_5-RG"
"bootstrap.replicates...76",4,96,NA,"C85-A_5-RG"
"original...77",NA,1,NA,"C86-A_1-RG"
"bootstrap.replicates...78",NA,100,NA,"C86-A_1-RG"
"original...79",NA,1,NA,"C86-A_2-RG"
"bootstrap.replicates...80",NA,100,NA,"C86-A_2-RG"
"original...81",NA,1,NA,"C86-A_3-RG"
"bootstrap.replicates...82",5,95,NA,"C86-A_3-RG"
"original...83",NA,1,NA,"C86-A_4-RG"
"bootstrap.replicates...84",NA,100,NA,"C86-A_4-RG"
"original...85",NA,1,NA,"C86-A_5-RG"
"bootstrap.replicates...86",NA,100,NA,"C86-A_5-RG"
"original...87",1,NA,NA,"C87-A_1-RG"
"bootstrap.replicates...88",96,4,NA,"C87-A_1-RG"
"original...89",NA,1,NA,"C87-A_2-RG"
"bootstrap.replicates...90",NA,100,NA,"C87-A_2-RG"
"original...91",NA,1,NA,"C87-A_3-RG"
"bootstrap.replicates...92",NA,100,NA,"C87-A_3-RG"
"original...93",NA,1,NA,"C87-A_4-RG"
"bootstrap.replicates...94",1,99,NA,"C87-A_4-RG"
"original...95",NA,1,NA,"C87-A_5-RG"
"bootstrap.replicates...96",4,96,NA,"C87-A_5-RG"
"original...97",NA,1,NA,"C88-A_1-RG"
"bootstrap.replicates...98",NA,100,NA,"C88-A_1-RG"
"original...99",1,NA,NA,"C88-A_2-RG"
"bootstrap.replicates...100",83,17,NA,"C88-A_2-RG"
"original...101",NA,1,NA,"C88-A_3-RG"
"bootstrap.replicates...102",4,96,NA,"C88-A_3-RG"
"original...103",NA,1,NA,"C88-A_4-RG"
"bootstrap.replicates...104",NA,100,NA,"C88-A_4-RG"
"original...105",NA,1,NA,"C88-A_5-RG"
"bootstrap.replicates...106",6,94,NA,"C88-A_5-RG"
"original...107",NA,NA,1,"cat-RRG"
"bootstrap.replicates...108",19,NA,81,"cat-RRG"
"original...109",1,NA,NA,"L05-S_1-RG"
"bootstrap.replicates...110",100,NA,NA,"L05-S_1-RG"
"original...111",1,NA,NA,"L05-S_2-RG"
"bootstrap.replicates...112",100,NA,NA,"L05-S_2-RG"
"original...113",1,NA,NA,"L05-S_3-RG"
"bootstrap.replicates...114",100,NA,NA,"L05-S_3-RG"
"original...115",NA,1,NA,"L06-A_1-RG"
"bootstrap.replicates...116",7,93,NA,"L06-A_1-RG"
"original...117",NA,1,NA,"L06-A_2-RG"
"bootstrap.replicates...118",NA,100,NA,"L06-A_2-RG"
"original...119",NA,1,NA,"L06-A_3-RG"
"bootstrap.replicates...120",2,98,NA,"L06-A_3-RG"
"original...121",1,NA,NA,"L06-A_4-RG"
"bootstrap.replicates...122",64,36,NA,"L06-A_4-RG"
"original...123",NA,1,NA,"L06-A_5-RG"
"bootstrap.replicates...124",NA,100,NA,"L06-A_5-RG"
"original...125",1,NA,NA,"L08-S_1-RG"
"bootstrap.replicates...126",100,NA,NA,"L08-S_1-RG"
"original...127",1,NA,NA,"L08-S_2-RG"
"bootstrap.replicates...128",100,NA,NA,"L08-S_2-RG"
"original...129",1,NA,NA,"L08-S_3-RG"
"bootstrap.replicates...130",100,NA,NA,"L08-S_3-RG"
"original...131",1,NA,NA,"L10-S_1-RG"
"bootstrap.replicates...132",100,NA,NA,"L10-S_1-RG"
"original...133",1,NA,NA,"L10-S_2-RG"
"bootstrap.replicates...134",100,NA,NA,"L10-S_2-RG"
"original...135",1,NA,NA,"L10-S_3-RG"
"bootstrap.replicates...136",100,NA,NA,"L10-S_3-RG"
"original...137",1,NA,NA,"L11-S_1-RG"
"bootstrap.replicates...138",100,NA,NA,"L11-S_1-RG"
"original...139",1,NA,NA,"L11-S_2-RG"
"bootstrap.replicates...140",100,NA,NA,"L11-S_2-RG"
"original...141",1,NA,NA,"L11-S_3-RG"
"bootstrap.replicates...142",100,NA,NA,"L11-S_3-RG"
"original...143",1,NA,NA,"L12-S_1-RG"
"bootstrap.replicates...144",100,NA,NA,"L12-S_1-RG"
"original...145",1,NA,NA,"L12-S_2-RG"
"bootstrap.replicates...146",100,NA,NA,"L12-S_2-RG"
"original...147",1,NA,NA,"L12-S_3-RG"
"bootstrap.replicates...148",100,NA,NA,"L12-S_3-RG"
"original...149",1,NA,NA,"L13-S_1-RG"
"bootstrap.replicates...150",100,NA,NA,"L13-S_1-RG"
"original...151",1,NA,NA,"L13-S_2-RG"
"bootstrap.replicates...152",100,NA,NA,"L13-S_2-RG"
"original...153",1,NA,NA,"L13-S_3-RG"
"bootstrap.replicates...154",100,NA,NA,"L13-S_3-RG"
"original...155",NA,NA,1,"L16-A_1-RG"
"bootstrap.replicates...156",NA,NA,100,"L16-A_1-RG"
"original...157",NA,1,NA,"L16-A_2-RG"
"bootstrap.replicates...158",5,95,NA,"L16-A_2-RG"
"original...159",NA,1,NA,"L16-A_3-RG"
"bootstrap.replicates...160",1,99,NA,"L16-A_3-RG"
"original...161",1,NA,NA,"L16-A_4-RG"
"bootstrap.replicates...162",84,16,NA,"L16-A_4-RG"
"original...163",NA,1,NA,"L16-A_5-RG"
"bootstrap.replicates...164",NA,100,NA,"L16-A_5-RG"
"original...165",NA,1,NA,"L17-A_1-RG"
"bootstrap.replicates...166",4,96,NA,"L17-A_1-RG"
"original...167",1,NA,NA,"L17-A_2-RG"
"bootstrap.replicates...168",89,11,NA,"L17-A_2-RG"
"original...169",NA,1,NA,"L17-A_3-RG"
"bootstrap.replicates...170",NA,100,NA,"L17-A_3-RG"
"original...171",1,NA,NA,"L17-A_4-RG"
"bootstrap.replicates...172",62,38,NA,"L17-A_4-RG"
"original...173",NA,1,NA,"L17-A_5-RG"
"bootstrap.replicates...174",NA,100,NA,"L17-A_5-RG"
"original...175",NA,1,NA,"L39-A_1-RG"
"bootstrap.replicates...176",7,93,NA,"L39-A_1-RG"
"original...177",NA,1,NA,"L39-A_2-RG"
