"LL","type","mixture","distribution","BIC","sample"
-5565526.92677617,"fixed","diploid","normal",11131064.2277308,"C23-A_3-RG"
-1435429.62941322,"fixed","triploid","normal",2870880.00718333,"C23-A_3-RG"
-707066.219721259,"fixed","tetraploid","normal",1414163.56197785,"C23-A_3-RG"
-433490.895159496,"fixed","pentaploid","normal",867023.287032774,"C23-A_3-RG"
-279127.012511399,"fixed","hexaploid","normal",558305.895915026,"C23-A_3-RG"
8011.98296873879,"fixed_2","diploid","normal",-16003.2175805864,"C23-A_3-RG"
9467.68440746363,"fixed_2","triploid","normal",-18893.872101145,"C23-A_3-RG"
10300.7337785945,"fixed_2","tetraploid","normal",-20539.2224865156,"C23-A_3-RG"
10251.3053741716,"fixed_2","pentaploid","normal",-20419.6173207787,"C23-A_3-RG"
10851.7863317876,"fixed_2","hexaploid","normal",-21599.8308791195,"C23-A_3-RG"
8011.98296873879,"fixed_3","diploid","normal",-16013.591759032,"C23-A_3-RG"
9467.66785091154,"fixed_3","triploid","normal",-18914.5873449319,"C23-A_3-RG"
8170.87512076667,"fixed_3","tetraploid","normal",-16310.6277061967,"C23-A_3-RG"
7043.35798297792,"fixed_3","pentaploid","normal",-14045.2192521736,"C23-A_3-RG"
6055.25069745846,"fixed_3","hexaploid","normal",-12058.6305026891,"C23-A_3-RG"
11487.2655401586,"fixed","diploid","normal-uniform",-22953.7827234261,"C23-A_3-RG"
11443.4234041324,"fixed","triploid","normal-uniform",-22855.7242729282,"C23-A_3-RG"
11487.2565815194,"fixed","tetraploid","normal-uniform",-22933.0164492565,"C23-A_3-RG"
11511.5495242757,"fixed","pentaploid","normal-uniform",-22971.2281563236,"C23-A_3-RG"
11515.5466621302,"fixed","hexaploid","normal-uniform",-22968.848253587,"C23-A_3-RG"
11652.9560362834,"fixed_2","diploid","normal-uniform",-23274.7895372302,"C23-A_3-RG"
11534.5229180893,"fixed_2","triploid","normal-uniform",-23017.1749439507,"C23-A_3-RG"
11652.9526146677,"fixed_2","tetraploid","normal-uniform",-23233.2859802165,"C23-A_3-RG"
13023.2648652031,"fixed_2","pentaploid","normal-uniform",-25953.1621243961,"C23-A_3-RG"
11819.9748483507,"fixed_2","hexaploid","normal-uniform",-23525.8337338003,"C23-A_3-RG"
8810.10054652833,"fixed_3","diploid","normal-uniform",-17609.8269146111,"C23-A_3-RG"
9854.95289658085,"fixed_3","triploid","normal-uniform",-19689.1574362706,"C23-A_3-RG"
8860.20389739677,"fixed_3","tetraploid","normal-uniform",-17689.2852594569,"C23-A_3-RG"
7547.24390939359,"fixed_3","pentaploid","normal-uniform",-15052.9911050049,"C23-A_3-RG"
6660.45140653539,"fixed_3","hexaploid","normal-uniform",-13269.031920843,"C23-A_3-RG"
-15707.9346847664,"fixed","diploid","beta",31415.8693695327,"C23-A_3-RG"
9819.00173342738,"fixed","triploid","beta",-19617.2551099636,"C23-A_3-RG"
8369.67477324724,"fixed","tetraploid","beta",-16708.2270111578,"C23-A_3-RG"
8029.46028649985,"fixed","pentaploid","beta",-16017.4238592175,"C23-A_3-RG"
10437.5933864309,"fixed","hexaploid","beta",-20823.3158806341,"C23-A_3-RG"
9425.26406416728,"fixed_2","diploid","beta",-18829.7797714434,"C23-A_3-RG"
9819.00173342737,"fixed_2","triploid","beta",-19596.5067530725,"C23-A_3-RG"
10693.7253006535,"fixed_2","tetraploid","beta",-21325.2055306337,"C23-A_3-RG"
10756.6416635923,"fixed_2","pentaploid","beta",-21430.28989962,"C23-A_3-RG"
11152.2133278711,"fixed_2","hexaploid","beta",-22200.6848712867,"C23-A_3-RG"
9425.26406416728,"fixed_3","diploid","beta",-18840.153949889,"C23-A_3-RG"
9819.00173342737,"fixed_3","triploid","beta",-19617.2551099636,"C23-A_3-RG"
8367.84452238798,"fixed_3","tetraploid","beta",-16704.5665094393,"C23-A_3-RG"
7039.6800550408,"fixed_3","pentaploid","beta",-14037.8633962993,"C23-A_3-RG"
5830.51368475596,"fixed_3","hexaploid","beta",-11609.1564772841,"C23-A_3-RG"
11616.1593697981,"fixed","diploid","beta-uniform",-23211.5703827051,"C23-A_3-RG"
11413.0021150859,"fixed","triploid","beta-uniform",-22794.8816948351,"C23-A_3-RG"
11607.5522808422,"fixed","tetraploid","beta-uniform",-23173.6078479022,"C23-A_3-RG"
11767.2363351633,"fixed","pentaploid","beta-uniform",-23482.6017780987,"C23-A_3-RG"
11641.5262488635,"fixed","hexaploid","beta-uniform",-23220.8074270536,"C23-A_3-RG"
11697.5436131711,"fixed_2","diploid","beta-uniform",-23363.9646910055,"C23-A_3-RG"
11529.0694263648,"fixed_2","triploid","beta-uniform",-23006.2679605018,"C23-A_3-RG"
11697.5068760072,"fixed_2","tetraploid","beta-uniform",-23322.3945028955,"C23-A_3-RG"
20556.5997561437,"fixed_2","pentaploid","beta-uniform",-41019.8319062774,"C23-A_3-RG"
11821.5217496594,"fixed_2","hexaploid","beta-uniform",-23528.9275364176,"C23-A_3-RG"
9925.49379417289,"fixed_3","diploid","beta-uniform",-19840.6134099002,"C23-A_3-RG"
