"BICdif","winnerBIC","secondBIC","Distribution","Type","sample"
-1557657.54505614,"tetraploid","triploid","normal","fixed","C23-A_1-RG"
-1612.2034971087,"tetraploid","triploid","normal","fixed_2","C23-A_1-RG"
-1625.2420585847,"triploid","tetraploid","normal","fixed_3","C23-A_1-RG"
-20.8078845189993,"diploid","tetraploid","normal-uniform","fixed","C23-A_1-RG"
-343310.776010043,"tetraploid","triploid","normal-uniform","fixed_2","C23-A_1-RG"
-1113.8487897091,"triploid","tetraploid","normal-uniform","fixed_3","C23-A_1-RG"
-3178.8838267289,"triploid","tetraploid","beta","fixed","C23-A_1-RG"
-1511.6501793373,"tetraploid","triploid","beta","fixed_2","C23-A_1-RG"
-1964.3160575981,"triploid","tetraploid","beta","fixed_3","C23-A_1-RG"
-40.3772109238016,"tetraploid","diploid","beta-uniform","fixed","C23-A_1-RG"
-22.6844273446986,"diploid","triploid","beta-uniform","fixed_2","C23-A_1-RG"
-1622.7649526257,"triploid","tetraploid","beta-uniform","fixed_3","C23-A_1-RG"
-3001.22065045702,"triploid","tetraploid","beta-binomial","fixed","C23-A_1-RG"
-183.588388550008,"tetraploid","triploid","beta-binomial","fixed_2","C23-A_1-RG"
-1889.995621218,"triploid","diploid","beta-binomial","fixed_3","C23-A_1-RG"
-3001.23384634199,"triploid","tetraploid","beta-binomial-uniform","fixed","C23-A_1-RG"
-270.991649793985,"tetraploid","triploid","beta-binomial-uniform","fixed_2","C23-A_1-RG"
-1579.89958072599,"triploid","diploid","beta-binomial-uniform","fixed_3","C23-A_1-RG"
