stat,sample_name,diploid,triploid,tetraploid,assumed_ploidy,match
bootstrap,B42-S_1,100,NA,NA,2,yes
original,B42-S_1,1,NA,NA,2,yes
bootstrap,B42-S_2,100,NA,NA,2,yes
original,B42-S_2,1,NA,NA,2,yes
bootstrap,B42-S_3,100,NA,NA,2,yes
original,B42-S_3,1,NA,NA,2,yes
bootstrap,B46-S_1,100,NA,NA,2,yes
original,B46-S_1,1,NA,NA,2,yes
bootstrap,B46-S_2,100,NA,NA,2,yes
original,B46-S_2,1,NA,NA,2,yes
bootstrap,B46-S_3,100,NA,NA,2,yes
original,B46-S_3,1,NA,NA,2,yes
original,B49-S_1,1,NA,NA,2,yes
bootstrap,B49-S_1,100,NA,NA,2,yes
original,B49-S_2,1,NA,NA,2,yes
bootstrap,B49-S_2,100,NA,NA,2,yes
original,B49-S_3,1,NA,NA,2,yes
bootstrap,B49-S_3,100,NA,NA,2,yes
original,B53-S_1,1,NA,NA,2,yes
bootstrap,B53-S_1,100,NA,NA,2,yes
original,B53-S_2,1,NA,NA,2,yes
bootstrap,B53-S_2,100,NA,NA,2,yes
original,B53-S_3,1,NA,NA,2,yes
bootstrap,B53-S_3,100,NA,NA,2,yes
original,B60-S_1,1,NA,NA,2,yes
bootstrap,B60-S_1,100,NA,NA,2,yes
bootstrap,B60-S_2,100,NA,NA,2,yes
original,B60-S_2,1,NA,NA,2,yes
bootstrap,B60-S_3,100,NA,NA,2,yes
original,B60-S_3,1,NA,NA,2,yes
bootstrap,C23-A_1,92,8,NA,3,no
original,C23-A_1,1,NA,NA,3,no
bootstrap,C23-A_2,56,44,NA,3,no
original,C23-A_2,1,NA,NA,3,no
bootstrap,C23-A_3,72,28,NA,3,no
original,C23-A_3,1,NA,NA,3,no
bootstrap,C23-A_4,NA,100,NA,3,yes
original,C23-A_4,NA,1,NA,3,no
original,C23-A_5,1,NA,NA,3,no
bootstrap,C23-A_5,100,NA,NA,3,no
original,C27-A_1,NA,1,NA,3,yes
bootstrap,C27-A_1,NA,100,NA,3,yes
original,C27-A_2,NA,1,NA,3,yes
bootstrap,C27-A_2,NA,100,NA,3,yes
original,C27-A_3,NA,1,NA,3,yes
bootstrap,C27-A_3,NA,100,NA,3,yes
original,C27-A_4,NA,1,NA,3,yes
bootstrap,C27-A_4,NA,100,NA,3,yes
original,C27-A_5,NA,1,NA,3,yes
bootstrap,C27-A_5,NA,100,NA,3,yes
original,C43-A_1,NA,NA,1,3,yes
bootstrap,C43-A_1,NA,NA,100,3,yes
bootstrap,C43-A_2,NA,NA,100,3,yes
original,C43-A_2,NA,NA,1,3,yes
bootstrap,C43-A_3,NA,NA,100,3,yes
original,C43-A_3,NA,NA,1,3,yes
bootstrap,C43-A_4,NA,NA,100,3,yes
original,C43-A_4,NA,NA,1,3,yes
bootstrap,C43-A_5,NA,NA,100,3,yes
original,C43-A_5,NA,NA,1,3,yes
bootstrap,C59-S_1,100,NA,NA,2,yes
original,C59-S_1,1,NA,NA,2,yes
bootstrap,C59-S_2,100,NA,NA,2,yes
original,C59-S_2,1,NA,NA,2,yes
bootstrap,C59-S_3,100,NA,NA,2,yes
original,C59-S_3,1,NA,NA,2,yes
original,C85-A_1,NA,1,NA,3,yes
bootstrap,C85-A_1,NA,100,NA,3,yes
original,C85-A_2B,1,NA,NA,3,no
bootstrap,C85-A_2B,100,NA,NA,3,no
original,C85-A_3,1,NA,NA,3,no
bootstrap,C85-A_3,79,21,NA,3,no
original,C85-A_4,NA,1,NA,3,yes
bootstrap,C85-A_4,NA,100,NA,3,yes
original,C85-A_5,NA,1,NA,3,yes
bootstrap,C85-A_5,4,96,NA,3,yes
original,C86-A_1,NA,1,NA,3,yes
bootstrap,C86-A_1,NA,100,NA,3,yes
original,C86-A_2,NA,1,NA,3,yes
bootstrap,C86-A_2,NA,100,NA,3,yes
original,C86-A_3,NA,1,NA,3,yes
bootstrap,C86-A_3,5,95,NA,3,yes
original,C86-A_4,NA,1,NA,3,yes
bootstrap,C86-A_4,NA,100,NA,3,yes
original,C86-A_5,NA,1,NA,3,yes
bootstrap,C86-A_5,NA,100,NA,3,yes
original,C87-A_1,1,NA,NA,3,no
bootstrap,C87-A_1,96,4,NA,3,no
original,C87-A_2,NA,1,NA,3,yes
bootstrap,C87-A_2,NA,100,NA,3,yes
original,C87-A_3,NA,1,NA,3,yes
bootstrap,C87-A_3,NA,100,NA,3,yes
original,C87-A_4,NA,1,NA,3,yes
bootstrap,C87-A_4,1,99,NA,3,yes
bootstrap,C87-A_5,4,96,NA,3,yes
original,C87-A_5,NA,1,NA,3,yes
bootstrap,C88-A_1,NA,100,NA,3,yes
original,C88-A_1,NA,1,NA,3,yes
bootstrap,C88-A_2,83,17,NA,3,no
original,C88-A_2,1,NA,NA,3,no
bootstrap,C88-A_3,4,96,NA,3,yes
original,C88-A_3,NA,1,NA,3,yes
bootstrap,C88-A_4,NA,100,NA,3,yes
original,C88-A_4,NA,1,NA,3,yes
bootstrap,C88-A_5,6,94,NA,3,yes
original,C88-A_5,NA,1,NA,3,yes
original,L05-S_1,1,NA,NA,2,yes
bootstrap,L05-S_1,100,NA,NA,2,yes
original,L05-S_2,1,NA,NA,2,yes
bootstrap,L05-S_2,100,NA,NA,2,yes
bootstrap,L05-S_3,100,NA,NA,2,yes
original,L05-S_3,1,NA,NA,2,yes
bootstrap,L06-A_1,7,93,NA,3,yes
original,L06-A_1,NA,1,NA,3,yes
bootstrap,L06-A_2,NA,100,NA,3,yes
original,L06-A_2,NA,1,NA,3,yes
bootstrap,L06-A_3,2,98,NA,3,yes
original,L06-A_3,NA,1,NA,3,yes
bootstrap,L06-A_4,64,36,NA,3,no
original,L06-A_4,1,NA,NA,3,no
bootstrap,L06-A_5,NA,100,NA,3,yes
original,L06-A_5,NA,1,NA,3,yes
original,L08-S_1,1,NA,NA,2,yes
bootstrap,L08-S_1,100,NA,NA,2,yes
original,L08-S_2,1,NA,NA,2,yes
bootstrap,L08-S_2,100,NA,NA,2,yes
original,L08-S_3,1,NA,NA,2,yes
bootstrap,L08-S_3,100,NA,NA,2,yes
original,L10-S_1,1,NA,NA,2,yes
bootstrap,L10-S_1,100,NA,NA,2,yes
original,L10-S_2,1,NA,NA,2,yes
bootstrap,L10-S_2,100,NA,NA,2,yes
original,L10-S_3,1,NA,NA,2,yes
bootstrap,L10-S_3,100,NA,NA,2,yes
original,L11-S_1,1,NA,NA,2,yes
bootstrap,L11-S_1,100,NA,NA,2,yes
bootstrap,L11-S_2,100,NA,NA,2,yes
original,L11-S_2,1,NA,NA,2,yes
bootstrap,L11-S_3,100,NA,NA,2,yes
original,L11-S_3,1,NA,NA,2,yes
bootstrap,L12-S_1,100,NA,NA,2,yes
original,L12-S_1,1,NA,NA,2,yes
bootstrap,L12-S_2,100,NA,NA,2,yes
original,L12-S_2,1,NA,NA,2,yes
bootstrap,L12-S_3,100,NA,NA,2,yes
original,L12-S_3,1,NA,NA,2,yes
bootstrap,L13-S_1,100,NA,NA,2,yes
original,L13-S_1,1,NA,NA,2,yes
original,L13-S_2,1,NA,NA,2,yes
bootstrap,L13-S_2,100,NA,NA,2,yes
original,L13-S_3,1,NA,NA,2,yes
bootstrap,L13-S_3,100,NA,NA,2,yes
original,L16-A_1,NA,NA,1,3,no
bootstrap,L16-A_1,NA,NA,100,3,no
original,L16-A_2,NA,1,NA,3,yes
bootstrap,L16-A_2,5,95,NA,3,yes
original,L16-A_3,NA,1,NA,3,yes
bootstrap,L16-A_3,1,99,NA,3,yes
original,L16-A_4,1,NA,NA,3,no
bootstrap,L16-A_4,84,16,NA,3,no
original,L16-A_5,NA,1,NA,3,yes
bootstrap,L16-A_5,NA,100,NA,3,yes
