id,pop,ms
B42-S_1,CO3-S,S
B42-S_2,CO3-S,S
B42-S_3,CO3-S,S
B46-S_1,CO4-S,S
B46-S_2,CO4-S,S
B46-S_3,CO4-S,S
B49-S_1,CO5-S,S
B49-S_2,CO5-S,S
B49-S_3,CO5-S,S
B53-S_1,CO1-S,S
B53-S_2,CO1-S,S
B53-S_3,CO1-S,S
B60-S_1,CO2-S,S
B60-S_2,CO2-S,S
B60-S_3,CO2-S,S
C23-A_1,ND-A,A
C23-A_2,ND-A,A
C23-A_3,ND-A,A
C23-A_4,ND-A,A
C23-A_5,ND-A,A
C27-A_1,MT4-A,A
C27-A_2,MT4-A,A
C27-A_3,MT4-A,A
C27-A_4,MT4-A,A
C27-A_5,MT4-A,A
C43-A_1,BC-A,A
C43-A_2,BC-A,A
C43-A_3,BC-A,A
C43-A_4,BC-A,A
C43-A_5,BC-A,A
C59-S_1,YK2-S,S
C59-S_2,YK2-S,S
C59-S_3,YK2-S,S
C85-A_1,MT3-A,A
C85-A_2B,MT3-A,A
C85-A_3,MT3-A,A
C85-A_4,MT3-A,A
C85-A_5,MT3-A,A
C86-A_1,MT1-A,A
C86-A_2,MT1-A,A
C86-A_3,MT1-A,A
C86-A_4,MT1-A,A
C86-A_5,MT1-A,A
C87-A_1,WY15-A,A
C87-A_2,WY15-A,A
C87-A_3,WY15-A,A
C87-A_4,WY15-A,A
C87-A_5,WY15-A,A
C88-A_1,MT2-A,A
C88-A_2,MT2-A,A
C88-A_3,MT2-A,A
C88-A_4,MT2-A,A
C88-A_5,MT2-A,A
L05-S_1,WY2-S,S
L05-S_2,WY2-S,S
L05-S_3,WY2-S,S
L06-A_1,WY9-A,A
L06-A_2,WY9-A,A
L06-A_3,WY9-A,A
L06-A_4,WY9-A,A
L06-A_5,WY9-A,A
L08-S_1,WY3-S,S
L08-S_2,WY3-S,S
L08-S_3,WY3-S,S
L10-S_1,WY4-S,S
L10-S_2,WY4-S,S
L10-S_3,WY4-S,S
L11-S_1,WY6-S,S
L11-S_2,WY6-S,S
L11-S_3,WY6-S,S
L12-S_1,WY7-S,S
L12-S_2,WY7-S,S
L12-S_3,WY7-S,S
L13-S_1,WY8-S,S
L13-S_2,WY8-S,S
L13-S_3,WY8-S,S
L16-A_1,WY10-A,A
L16-A_2,WY10-A,A
L16-A_3,WY10-A,A
L16-A_4,WY10-A,A
L16-A_5,WY10-A,A
L17-A_1,WY11-A,A
L17-A_2,WY11-A,A
L17-A_3,WY11-A,A
L17-A_4,WY11-A,A
L17-A_5,WY11-A,A
L39-A_1,WY12-A,A
L39-A_2,WY12-A,A
L39-A_3,WY12-A,A
L39-A_4,WY12-A,A
L39-A_5,WY12-A,A
L41-A_1,WY13-A,A
L41-A_2,WY13-A,A
L41-A_3,WY13-A,A
L41-A_4,WY13-A,A
L45-S_1,WY14-S,S
L45-A_2,WY14-A,A
L45-A_3,WY14-A,A
L45-A_4,WY14-A,A
L45-A_5,WY14-A,A
L62-A_5,WY1-A,A
L62-S_1,WY1-S,S
L62-S_2,WY1-S,S
L62-S_3,WY1-S,S
L62-S_4,WY1-S,S
S03-A_1,SK-A,A
S03-A_2,SK-A,A
S03-A_3,SK-A,A
S03-A_4,SK-A,A
SM-A_1,YK1-A,A
SM-A_2,YK1-A,A
SM-A_3,YK1-A,A
SM-A_4,YK1-A,A
SM-A_5,YK1-A,A
